/a X,/a Y,/b X,/b Y,/Cin X,/Cin Y,/G X,/G Y,/P X,/P Y,/S X,/S Y,/Cout X,/Cout Y
0,0,0,0,0,0,0,1.03575853849101e-07,0,2.460760837838041e-07,0,1.188898309162359e-07,0,5.339800133562858e-08
5.859375e-14,0.000390625,5.859375e-14,0,5.859375e-14,0,5.859375e-14,4.472366004667207e-06,5.859375e-14,5.209357798886799e-06,5.859375e-14,2.462625601366686e-07,5.859375e-14,3.681305456664025e-07
1.7578125e-13,0.001171875,1.7578125e-13,0,1.7578125e-13,0,1.7578125e-13,1.405678795148634e-05,1.7578125e-13,1.687875089743486e-05,1.7578125e-13,5.440392774266778e-07,1.7578125e-13,1.04446312717589e-06
4.1015625e-13,0.002734375,4.1015625e-13,0,4.1015625e-13,0,4.1015625e-13,3.074776838687708e-05,4.1015625e-13,3.800278597207247e-05,4.1015625e-13,1.052105684268715e-06,4.1015625e-13,2.112051721865705e-06
8.7890625e-13,0.005859375,8.7890625e-13,0,8.7890625e-13,0,8.7890625e-13,5.550391332987764e-05,8.7890625e-13,7.493463631296213e-05,8.7890625e-13,1.762258641872578e-06,8.7890625e-13,3.139367263305868e-06
1.81640625e-12,0.012109375,1.81640625e-12,0,1.81640625e-12,0,1.81640625e-12,8.063467208080342e-05,1.81640625e-12,0.000129774121749666,1.81640625e-12,2.27613464454172e-06,1.81640625e-12,2.80763956203464e-06
3.69140625e-12,0.024609375,3.69140625e-12,0,3.69140625e-12,0,3.69140625e-12,9.091664379450811e-05,3.69140625e-12,0.0001842641221699274,3.69140625e-12,1.514834121317098e-06,3.69140625e-12,3.690706959114944e-07
7.44140625e-12,0.049609375,7.44140625e-12,0,7.44140625e-12,0,7.44140625e-12,3.806903452825245e-05,7.44140625e-12,0.0001872359716759781,7.44140625e-12,-6.747195184294571e-07,7.44140625e-12,-2.526595488476852e-06
1.313944597077974e-11,0.08759630647186492,1.313944597077974e-11,0,1.313944597077974e-11,0,1.313944597077974e-11,2.104892927438213e-06,1.313944597077974e-11,0.0001268712361682887,1.313944597077974e-11,-1.048080285050491e-06,1.313944597077974e-11,1.725738212409678e-07
2.178297336488669e-11,0.1452198224325779,2.178297336488669e-11,0,2.178297336488669e-11,0,2.178297336488669e-11,9.397989563172329e-06,2.178297336488669e-11,6.901283145453738e-05,2.178297336488669e-11,2.337555411011651e-07,2.178297336488669e-11,6.146380416472241e-07
3.670435170736291e-11,0.2446956780490861,3.670435170736291e-11,0,3.670435170736291e-11,0,3.670435170736291e-11,9.403783554752065e-07,3.670435170736291e-11,6.228400960816153e-05,3.670435170736291e-11,3.596428458056446e-07,3.670435170736291e-11,-3.538001551657903e-07
6.26826656185657e-11,0.4178844374571047,6.26826656185657e-11,0,6.26826656185657e-11,0,6.26826656185657e-11,5.206171499516917e-06,6.26826656185657e-11,0.000100676761270223,6.26826656185657e-11,-3.564165673351999e-09,6.26826656185657e-11,4.300912968321846e-07
6.950147853897112e-11,0.4633431902598075,6.950147853897112e-11,0,6.950147853897112e-11,0,6.950147853897112e-11,-9.022185927493973e-06,6.950147853897112e-11,2.757622824911843e-05,6.950147853897112e-11,-5.436563781156896e-07,6.950147853897112e-11,-3.732113233389019e-07
8.313910437978194e-11,0.554260695865213,8.313910437978194e-11,0,8.313910437978194e-11,0,8.313910437978194e-11,-8.379568563946657e-06,8.313910437978194e-11,-0.0009341564969941952,8.313910437978194e-11,-2.707010232803591e-06,8.313910437978194e-11,4.555605965337435e-07
9.42882253473036e-11,0.628588168982024,9.42882253473036e-11,0,9.42882253473036e-11,0,9.42882253473036e-11,-6.242688237426228e-06,9.42882253473036e-11,-0.003557943276357389,9.42882253473036e-11,-7.051360073444593e-06,9.42882253473036e-11,-1.587225390432876e-07
1.036795656008871e-10,0.6911971040059141,1.036795656008871e-10,0,1.036795656008871e-10,0,1.036795656008871e-10,-1.723831584704937e-06,1.036795656008871e-10,-0.007981447236259272,1.036795656008871e-10,-1.021833935515651e-05,1.036795656008871e-10,1.898886819339913e-07
1.112631946935506e-10,0.7417546312903374,1.112631946935506e-10,0,1.112631946935506e-10,0,1.112631946935506e-10,-8.100420146073794e-07,1.112631946935506e-10,-0.01392706426756973,1.112631946935506e-10,-1.545988083114244e-05,1.112631946935506e-10,-4.191108297335586e-08
1.192050554549147e-10,0.7947003696994315,1.192050554549147e-10,0,1.192050554549147e-10,0,1.192050554549147e-10,-1.204433505039989e-07,1.192050554549147e-10,-0.02323058158252141,1.192050554549147e-10,-1.996218572302234e-05,1.192050554549147e-10,8.187497866253191e-08
1.21817071690318e-10,0.8121138112687868,1.21817071690318e-10,0,1.21817071690318e-10,0,1.21817071690318e-10,1.20251404495672e-07,1.21817071690318e-10,-0.02623587665844497,1.21817071690318e-10,-8.304441777082168e-06,1.21817071690318e-10,1.047004730003181e-07
1.239509845380884e-10,0.8263398969205895,1.239509845380884e-10,0,1.239509845380884e-10,0,1.239509845380884e-10,5.67458371978928e-08,1.239509845380884e-10,-0.02826303671829911,1.239509845380884e-10,3.361912171109897e-06,1.239509845380884e-10,9.436410102315848e-08
1.262262690325354e-10,0.8415084602169024,1.262262690325354e-10,0,1.262262690325354e-10,0,1.262262690325354e-10,-1.255162441181866e-07,1.262262690325354e-10,-0.03000681371508182,1.262262690325354e-10,1.383603515184999e-05,1.262262690325354e-10,5.686030574437368e-08
1.287918066132326e-10,0.8586120440882173,1.287918066132326e-10,0,1.287918066132326e-10,0,1.287918066132326e-10,-2.233726889444704e-07,1.287918066132326e-10,-0.03132762472665564,1.287918066132326e-10,2.394375295673287e-05,1.287918066132326e-10,5.279773108591701e-08
1.301971220709489e-10,0.8679808138063263,1.301971220709489e-10,0,1.301971220709489e-10,0,1.301971220709489e-10,1.005435860350791e-07,1.301971220709489e-10,-0.0306142818194114,1.301971220709489e-10,4.950636170075211e-05,1.301971220709489e-10,1.848314625664874e-07
1.318957740023836e-10,0.8793051600158909,1.318957740023836e-10,0,1.318957740023836e-10,0,1.318957740023836e-10,1.9466471674488e-06,1.318957740023836e-10,-0.02201708189357756,1.318957740023836e-10,0.0002164973332148673,1.318957740023836e-10,9.490153105305803e-07
1.332557790517524e-10,0.8883718603450159,1.332557790517524e-10,0,1.332557790517524e-10,0,1.332557790517524e-10,4.329071248038203e-06,1.332557790517524e-10,-0.004974410340941169,1.332557790517524e-10,0.0004762078520472318,1.332557790517524e-10,1.884936866789349e-06
1.353449549449201e-10,0.9022996996328005,1.353449549449201e-10,0,1.353449549449201e-10,0,1.353449549449201e-10,3.392234624658751e-06,1.353449549449201e-10,0.03711880084828569,1.353449549449201e-10,0.0008703067070128233,1.353449549449201e-10,1.390777708777965e-06
1.375609957309122e-10,0.917073304872748,1.375609957309122e-10,0,1.375609957309122e-10,0,1.375609957309122e-10,-3.638183088112182e-07,1.375609957309122e-10,0.09458628017895759,1.375609957309122e-10,0.001098513212353804,1.375609957309122e-10,-2.196647968970356e-07
1.394312604561149e-10,0.9295417363740994,1.394312604561149e-10,0,1.394312604561149e-10,0,1.394312604561149e-10,-2.935897318479016e-06,1.394312604561149e-10,0.1481061207238108,1.394312604561149e-10,0.001146720043415258,1.394312604561149e-10,-1.178842200800892e-06
1.415554870967047e-10,0.9437032473113649,1.415554870967047e-10,0,1.415554870967047e-10,0,1.415554870967047e-10,-3.657998191520831e-06,1.415554870967047e-10,0.2117731247941261,1.415554870967047e-10,0.00115761167373067,1.415554870967047e-10,-1.29907795634767e-06
1.444082120231676e-10,0.9627214134877842,1.444082120231676e-10,0,1.444082120231676e-10,0,1.444082120231676e-10,-2.714252160380506e-06,1.444082120231676e-10,0.3003562063324926,1.444082120231676e-10,0.001248724600719801,1.444082120231676e-10,-7.246710612637038e-07
1.472041060115838e-10,0.9813607067438921,1.472041060115838e-10,0,1.472041060115838e-10,0,1.472041060115838e-10,-1.771935596179034e-06,1.472041060115838e-10,0.3898190472779202,1.472041060115838e-10,0.001500580204574707,1.472041060115838e-10,-3.113183333706423e-07
1.5e-10,1,1.5e-10,0,1.5e-10,0,1.5e-10,-2.362507208857722e-06,1.5e-10,0.4807057363733283,1.5e-10,0.001730232675749952,1.5e-10,-5.71298161199583e-07
1.500206813942688e-10,1,1.500206813942688e-10,0,1.500206813942688e-10,0,1.500206813942688e-10,-3.298945239731001e-06,1.500206813942688e-10,0.4813770518908301,1.500206813942688e-10,0.001730511422600948,1.500206813942688e-10,-6.417099181584573e-07
1.500620441828064e-10,1,1.500620441828064e-10,0,1.500620441828064e-10,0,1.500620441828064e-10,-5.270283109514455e-06,1.500620441828064e-10,0.4827192745843664,1.500620441828064e-10,0.001731002426535005,1.500620441828064e-10,-8.017819802114399e-07
1.501447697598816e-10,1,1.501447697598816e-10,0,1.501447697598816e-10,0,1.501447697598816e-10,-9.062017257243292e-06,1.501447697598816e-10,0.485402503405624,1.501447697598816e-10,0.001731443417194216,1.501447697598816e-10,-1.107704623163293e-06
1.501861325484192e-10,1,1.501861325484192e-10,0,1.501861325484192e-10,0,1.501861325484192e-10,-1.087591151994905e-05,1.501861325484192e-10,0.4867433697169535,1.501861325484192e-10,0.001731387130842268,1.501861325484192e-10,-1.243362835300465e-06
1.502688581254945e-10,1,1.502688581254945e-10,0,1.502688581254945e-10,0,1.502688581254945e-10,-1.436973370159991e-05,1.502688581254945e-10,0.4894237148898548,1.502688581254945e-10,0.001730701114257054,1.502688581254945e-10,-1.499048535630177e-06
1.504343092796449e-10,1,1.504343092796449e-10,0,1.504343092796449e-10,0,1.504343092796449e-10,-2.078497188521846e-05,1.504343092796449e-10,0.4947781243947864,1.504343092796449e-10,0.001726931708931966,1.504343092796449e-10,-1.91811866830052e-06
1.507652115879458e-10,1,1.507652115879458e-10,0,1.507652115879458e-10,0,1.507652115879458e-10,-3.161677503747221e-05,1.507652115879458e-10,0.5054590139298484,1.507652115879458e-10,0.001708929246241664,1.507652115879458e-10,-2.477594167731138e-06
