/output X,/output Y,/b X,/b Y,/a X,/a Y
0,1.188900769691715e-07,0,0,0,0
5.859375e-14,1.014321799749162e-05,5.859375e-14,0,5.859375e-14,0.000390625
1.7578125e-13,3.37987106357818e-05,1.7578125e-13,0,1.7578125e-13,0.001171875
4.1015625e-13,7.579625372404297e-05,4.1015625e-13,0,4.1015625e-13,0.002734375
8.7890625e-13,0.0001447010049982936,8.7890625e-13,0,8.7890625e-13,0.005859375
1.81640625e-12,0.0002339096782669007,1.81640625e-12,0,1.81640625e-12,0.012109375
3.69140625e-12,0.0002901791034631661,3.69140625e-12,0,3.69140625e-12,0.024609375
7.44140625e-12,0.0002245013526803922,7.44140625e-12,0,7.44140625e-12,0.049609375
1.313644273225293e-11,9.846576790931627e-05,1.313644273225293e-11,0,1.313644273225293e-11,0.08757628488168619
2.177907044822483e-11,4.40573598829914e-05,2.177907044822483e-11,0,2.177907044822483e-11,0.1451938029881655
3.679716049044694e-11,6.621116241890715e-05,3.679716049044694e-11,0,3.679716049044694e-11,0.2453144032696463
6.322740521078867e-11,0.0001027303888461093,6.322740521078867e-11,0,6.322740521078867e-11,0.4215160347385911
7.015012241378608e-11,-3.27456636153655e-05,7.015012241378608e-11,0,7.015012241378608e-11,0.4676674827585739
8.39955568197809e-11,-0.001460626240294303,8.39955568197809e-11,0,8.39955568197809e-11,0.5599703787985394
9.620829384397897e-11,-0.005609859799799024,9.620829384397897e-11,0,9.620829384397897e-11,0.6413886256265264
1.053779253563476e-10,-0.01182713241906966,1.053779253563476e-10,0,1.053779253563476e-10,0.7025195023756509
1.135652661887698e-10,-0.02324025556251707,1.135652661887698e-10,0,1.135652661887698e-10,0.7571017745917985
1.177230408568477e-10,-0.03320561216082839,1.177230408568477e-10,0,1.177230408568477e-10,0.7848202723789848
1.198609983414106e-10,-0.03952764344603983,1.198609983414106e-10,0,1.198609983414106e-10,0.799073322276071
1.219334486950146e-10,-0.04546848568894262,1.219334486950146e-10,0,1.219334486950146e-10,0.812889657966764
1.242246080158866e-10,-0.05116015282573422,1.242246080158866e-10,0,1.242246080158866e-10,0.8281640534392437
1.263984513578274e-10,-0.05561527449908935,1.263984513578274e-10,0,1.263984513578274e-10,0.8426563423855162
1.29409293748763e-10,-0.05816741931681341,1.29409293748763e-10,0,1.29409293748763e-10,0.8627286249917531
1.308817449266877e-10,-0.0510337506436569,1.308817449266877e-10,0,1.308817449266877e-10,0.872544966177918
1.324707776782054e-10,-0.0180738183071961,1.324707776782054e-10,0,1.324707776782054e-10,0.8831385178547027
1.339060615092927e-10,0.04105725129219657,1.339060615092927e-10,0,1.339060615092927e-10,0.8927070767286182
1.358518136086741e-10,0.1536684570492555,1.358518136086741e-10,0,1.358518136086741e-10,0.9056787573911604
1.376781754636662e-10,0.2780555687333795,1.376781754636662e-10,0,1.376781754636662e-10,0.9178545030911081
1.395015831697539e-10,0.4081770556830925,1.395015831697539e-10,0,1.395015831697539e-10,0.930010554465026
1.414985104171711e-10,0.5484670645853821,1.414985104171711e-10,0,1.414985104171711e-10,0.9433234027811409
1.438131406046769e-10,0.6936355049366689,1.438131406046769e-10,0,1.438131406046769e-10,0.958754270697846
1.460337811734843e-10,0.7960244449631796,1.460337811734843e-10,0,1.460337811734843e-10,0.9735585411565619
1.481056559248906e-10,0.8567439405560194,1.481056559248906e-10,0,1.481056559248906e-10,0.987371039499271
1.5e-10,0.894887301279739,1.5e-10,0,1.5e-10,1
1.500084438324149e-10,0.895028138623651,1.500084438324149e-10,0,1.500084438324149e-10,1
1.500253314972448e-10,0.8953114120465125,1.500253314972448e-10,0,1.500253314972448e-10,1
1.500591068269045e-10,0.8958784102360272,1.500591068269045e-10,0,1.500591068269045e-10,1
1.500759944917344e-10,0.8961603248063341,1.500759944917344e-10,0,1.500759944917344e-10,1
1.501097698213941e-10,0.8967228432938037,1.501097698213941e-10,0,1.501097698213941e-10,1
1.501773204807135e-10,0.8978357381735015,1.501773204807135e-10,0,1.501773204807135e-10,1
1.502110958103732e-10,0.8983899712047292,1.502110958103732e-10,0,1.502110958103732e-10,1
1.502786464696926e-10,0.8994835725903708,1.502786464696926e-10,0,1.502786464696926e-10,1
1.504137477883315e-10,0.9016397213300811,1.504137477883315e-10,0,1.504137477883315e-10,1
1.506839504256092e-10,0.9058056107687845,1.506839504256092e-10,0,1.506839504256092e-10,1
1.512243557001647e-10,0.9136101587509902,1.512243557001647e-10,0,1.512243557001647e-10,1
1.514945583374424e-10,0.9172609604944646,1.514945583374424e-10,0,1.514945583374424e-10,1
1.520349636119978e-10,0.9241035076866334,1.520349636119978e-10,0,1.520349636119978e-10,1
1.531157741611087e-10,0.9361419221469049,1.531157741611087e-10,0,1.531157741611087e-10,1
1.552773952593304e-10,0.9548812407533095,1.552773952593304e-10,0,1.552773952593304e-10,1
1.590934794408688e-10,0.9758689631978965,1.590934794408688e-10,0,1.590934794408688e-10,1
1.634003079112114e-10,0.9882238183286528,1.634003079112114e-10,0,1.634003079112114e-10,1
1.684732048988446e-10,0.9950417824911417,1.684732048988446e-10,0,1.684732048988446e-10,1
1.74455686255868e-10,0.9982669002953009,1.74455686255868e-10,0,1.74455686255868e-10,1
1.821085689718668e-10,0.9995789058267673,1.821085689718668e-10,0,1.821085689718668e-10,1
1.923319099229196e-10,0.9999570105441814,1.923319099229196e-10,0,1.923319099229196e-10,1
2.070881860330419e-10,1.000003846978059,2.070881860330419e-10,0,2.070881860330419e-10,1
2.311047541812344e-10,0.9999988806755739,2.311047541812344e-10,0,2.311047541812344e-10,1
2.777219139459972e-10,1.000000574315704,2.777219139459972e-10,0,2.777219139459972e-10,1
3.709562334755226e-10,0.9999995630871272,3.709562334755226e-10,0,3.709562334755226e-10,1
5.574248725345734e-10,1.00000033704818,5.574248725345734e-10,0,5.574248725345734e-10,1
9.303621506526751e-10,0.9999996628499347,9.303621506526751e-10,0,9.303621506526751e-10,1
1.676236706888879e-09,1.000000289799613,1.676236706888879e-09,0,1.676236706888879e-09,1
2.876236706888879e-09,0.9999996850002444,2.876236706888879e-09,0,2.876236706888879e-09,1
4.076236706888878e-09,1.000000269711172,4.076236706888878e-09,0,4.076236706888878e-09,1
5.038118353444439e-09,0.9999997026893819,5.038118353444439e-09,0,5.038118353444439e-09,1
6e-09,1.0000002466194,6e-09,0,6e-09,1
6.000390625e-09,1.00112831396891,6.000390625e-09,0.003906250000000293,6.000390625e-09,1
6.001171875e-09,1.003253506315866,6.001171875e-09,0.01171875000000088,6.001171875e-09,1
6.002734375e-09,1.006717707179219,6.002734375e-09,0.02734375000000205,6.002734375e-09,1
