/c4 X,/c4 Y,/s3 X,/s3 Y,/s2 X,/s2 Y,/s1 X,/s1 Y,/s0 X,/s0 Y,/b3 X,/b3 Y,/a3 X,/a3 Y,/b2 X,/b2 Y,/a2 X,/a2 Y,/b1 X,/b1 Y,/a1 X,/a1 Y,/b0 X,/b0 Y,/a0 X,/a0 Y,/c0 X,/c0 Y
0,5.339800133486519e-08,0,1.188901205363323e-07,0,1.188901205245717e-07,0,1.188901204096656e-07,0,1.18890126211834e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.000000000000001e-11,5.339800129086841e-08,8.000000000000001e-11,1.18890253014026e-07,8.000000000000001e-11,1.188902530041082e-07,8.000000000000001e-11,1.18890252943324e-07,8.000000000000001e-11,1.188902588733938e-07,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0
2.4e-10,5.339800129030651e-08,2.4e-10,1.188902595933012e-07,2.4e-10,1.188902595818414e-07,2.4e-10,1.188902595210465e-07,2.4e-10,1.188902653025138e-07,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0
5.599999999999999e-10,5.339800128962366e-08,5.599999999999999e-10,1.188902599114456e-07,5.599999999999999e-10,1.188902599030384e-07,5.599999999999999e-10,1.188902598490574e-07,5.599999999999999e-10,1.188902656126777e-07,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0
1.2e-09,5.339800129092825e-08,1.2e-09,1.188902594967581e-07,1.2e-09,1.188902594819223e-07,1.2e-09,1.188902594185377e-07,1.2e-09,1.188902652010329e-07,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0
2.48e-09,5.339800128908641e-08,2.48e-09,1.188902596682363e-07,2.48e-09,1.18890259661423e-07,2.48e-09,1.188902596091259e-07,2.48e-09,1.1889026537204e-07,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0
4.08e-09,5.339800129096338e-08,4.08e-09,1.188902591520302e-07,4.08e-09,1.188902591372971e-07,4.08e-09,1.188902590735701e-07,4.08e-09,1.188902648563086e-07,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0
5.68e-09,5.339800128900474e-08,5.68e-09,1.188902592767668e-07,5.68e-09,1.188902592694548e-07,5.68e-09,1.18890259217421e-07,5.68e-09,1.188902649800085e-07,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0
7.280000000000001e-09,5.339800129102602e-08,7.280000000000001e-09,1.188902587687242e-07,7.280000000000001e-09,1.188902587542182e-07,7.280000000000001e-09,1.188902586900376e-07,7.280000000000001e-09,1.188902644734889e-07,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0
8.880000000000001e-09,5.339800128893182e-08,8.880000000000001e-09,1.188902588857015e-07,8.880000000000001e-09,1.188902588782438e-07,8.880000000000001e-09,1.1889025882675e-07,8.880000000000001e-09,1.188902645890724e-07,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0
1e-08,5.339800129104314e-08,1e-08,1.18890258445745e-07,1e-08,1.1889025843061e-07,1e-08,1.18890258367029e-07,1e-08,1.188902641494889e-07,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0
1.16e-08,5.339800128991689e-08,1.16e-08,1.188902584035027e-07,1.16e-08,1.188902583925624e-07,1.16e-08,1.188902583345283e-07,1.16e-08,1.188902641073225e-07,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0
1.32e-08,5.339800128997699e-08,1.32e-08,1.188902582114969e-07,1.32e-08,1.188902582009512e-07,1.32e-08,1.188902581436665e-07,1.32e-08,1.188902639155069e-07,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0
1.48e-08,5.33980012899791e-08,1.48e-08,1.188902580192053e-07,1.48e-08,1.188902580077861e-07,1.48e-08,1.188902579490325e-07,1.48e-08,1.188902637234389e-07,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0
1.5e-08,5.339800128964479e-08,1.5e-08,1.188902579953899e-07,1.5e-08,1.188902579829702e-07,1.5e-08,1.188902579271352e-07,1.5e-08,1.188902637008947e-07,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0
1.5000001e-08,5.340733158686413e-08,1.5000001e-08,5.610271920988497e-07,1.5000001e-08,1.253365307856837e-07,1.5000001e-08,5.179777221366364e-07,1.5000001e-08,1.979315882159165e-07,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0
1.5000003e-08,5.371447097799882e-08,1.5000003e-08,2.255681009868603e-06,1.5000003e-08,1.801736882030819e-07,1.5000003e-08,2.010671012941832e-06,1.5000003e-08,6.258747956750254e-07,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0
1.5000007e-08,5.545575427871473e-08,1.5000007e-08,6.289135876077509e-06,1.5000007e-08,3.645169736905849e-07,1.5000007e-08,5.532052956629091e-06,1.5000007e-08,1.623504216600193e-06,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0
1.5000015e-08,6.697245044573043e-08,1.5000015e-08,1.531529329846717e-05,1.5000015e-08,9.289669210593903e-07,1.5000015e-08,1.33700302582627e-05,1.5000015e-08,3.887358510533458e-06,1.5000015e-08,1,1.5000015e-08,0,1.5000015e-08,0,1.5000015e-08,0,1.5000015e-08,1,1.5000015e-08,0,1.5000015e-08,0,1.5000015e-08,1,1.5000015e-08,0
1.5000019e-08,7.611829659936378e-08,1.5000019e-08,2.231604528874601e-05,1.5000019e-08,1.221236949635079e-06,1.5000019e-08,1.72415265601266e-05,1.5000019e-08,5.030228475473363e-06,1.5000019e-08,1,1.5000019e-08,0,1.5000019e-08,0,1.5000019e-08,0,1.5000019e-08,1,1.5000019e-08,0,1.5000019e-08,0,1.5000019e-08,1,1.5000019e-08,0
