/a0 X,/a0 Y,/a1 X,/a1 Y,/a2 X,/a2 Y,/a3 X,/a3 Y,/b0 X,/b0 Y,/b1 X,/b1 Y,/b2 X,/b2 Y,/b3 X,/b3 Y,/s0 X,/s0 Y,/s1 X,/s1 Y,/s2 X,/s2 Y,/s3 X,/s3 Y,/a4 X,/a4 Y,/a5 X,/a5 Y,/a6 X,/a6 Y,/a7 X,/a7 Y,/b4 X,/b4 Y,/b5 X,/b5 Y,/b6 X,/b6 Y,/b7 X,/b7 Y,/cout X,/cout Y,/s4 X,/s4 Y,/s5 X,/s5 Y,/s6 X,/s6 Y,/s7 X,/s7 Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188901319239431e-07,0,1.188901262128466e-07,0,1.188901261998292e-07,0,1.188901261204532e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33980012940321e-08,0,1.188901200756008e-07,0,1.188901261283072e-07,0,1.188901262151968e-07,0,1.188901261962039e-07
8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,1.188901433504645e-07,8.000000000000001e-11,1.188901375701547e-07,8.000000000000001e-11,1.188901375568425e-07,8.000000000000001e-11,1.188901375322032e-07,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,5.339800130588405e-08,8.000000000000001e-11,1.188901314775861e-07,8.000000000000001e-11,1.1889013759391e-07,8.000000000000001e-11,1.18890137572843e-07,8.000000000000001e-11,1.188901374985758e-07
2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,1.188901439045107e-07,2.4e-10,1.188901381354853e-07,2.4e-10,1.188901381187077e-07,2.4e-10,1.188901380992694e-07,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,5.339800130563697e-08,2.4e-10,1.188901320437944e-07,2.4e-10,1.18890138162511e-07,2.4e-10,1.188901381335042e-07,2.4e-10,1.188901380620705e-07
5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,1.188901439316338e-07,5.599999999999999e-10,1.188901381627546e-07,5.599999999999999e-10,1.188901381513946e-07,5.599999999999999e-10,1.18890138124724e-07,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,5.339800130746165e-08,5.599999999999999e-10,1.188901320685692e-07,5.599999999999999e-10,1.188901381926154e-07,5.599999999999999e-10,1.18890138167732e-07,5.599999999999999e-10,1.188901380837094e-07
1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,1.188901438945052e-07,1.2e-09,1.188901381243787e-07,1.2e-09,1.18890138110072e-07,1.2e-09,1.188901380901849e-07,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,5.339800130486273e-08,1.2e-09,1.188901320377505e-07,1.2e-09,1.188901381542704e-07,1.2e-09,1.188901381257236e-07,1.2e-09,1.188901380565662e-07
2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,1.188901439114551e-07,2.48e-09,1.188901381429819e-07,2.48e-09,1.188901381310147e-07,2.48e-09,1.188901381047599e-07,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,5.339800130741826e-08,2.48e-09,1.188901320477239e-07,2.48e-09,1.188901381718432e-07,2.48e-09,1.18890138146029e-07,2.48e-09,1.18890138061585e-07
4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,1.188901438644747e-07,4.08e-09,1.188901380946266e-07,4.08e-09,1.188901380802428e-07,4.08e-09,1.188901380605112e-07,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,5.339800130483755e-08,4.08e-09,1.188901320078039e-07,4.08e-09,1.188901381245983e-07,4.08e-09,1.188901380961589e-07,4.08e-09,1.188901380267176e-07
5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,1.188901438771713e-07,5.68e-09,1.188901381087153e-07,5.68e-09,1.188901380972026e-07,5.68e-09,1.18890138070867e-07,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,5.339800130744964e-08,5.68e-09,1.188901320140746e-07,5.68e-09,1.188901381378911e-07,5.68e-09,1.188901381119386e-07,5.68e-09,1.188901380283038e-07
7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,1.188901438322991e-07,7.280000000000001e-09,1.188901380613037e-07,7.280000000000001e-09,1.188901380476954e-07,7.280000000000001e-09,1.188901380272967e-07,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,5.339800130491289e-08,7.280000000000001e-09,1.188901319751387e-07,7.280000000000001e-09,1.188901380916674e-07,7.280000000000001e-09,1.188901380639418e-07,7.280000000000001e-09,1.188901379934073e-07
8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,1.188901438427359e-07,8.880000000000001e-09,1.188901380757042e-07,8.880000000000001e-09,1.188901380630648e-07,8.880000000000001e-09,1.188901380380795e-07,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,5.339800130741787e-08,8.880000000000001e-09,1.188901319801624e-07,8.880000000000001e-09,1.188901381044849e-07,8.880000000000001e-09,1.188901380777493e-07,8.880000000000001e-09,1.188901379950843e-07
