/c0 X,/c0 Y,/p0 X,/p0 Y,/g1 X,/g1 Y,/p1 X,/p1 Y,/g2 X,/g2 Y,/p2 X,/p2 Y,/g3 X,/g3 Y,/p3 X,/p3 Y,/c4 X,/c4 Y,/c3 X,/c3 Y,/c2 X,/c2 Y,/c1 X,/c1 Y,/g0 X,/g0 Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.339800129621313e-08,0,5.339800130073288e-08,0,5.339800130247499e-08,0,5.339800132922133e-08,0,0
8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,0,8.000000000000001e-11,5.339800130805216e-08,8.000000000000001e-11,5.33980013125719e-08,8.000000000000001e-11,5.33980013143818e-08,8.000000000000001e-11,5.339800128533457e-08,8.000000000000001e-11,0
2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,0,2.4e-10,5.339800130782217e-08,2.4e-10,5.339800131234197e-08,2.4e-10,5.339800131612907e-08,2.4e-10,5.339800128367918e-08,2.4e-10,0
5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,0,5.599999999999999e-10,5.339800130941228e-08,5.599999999999999e-10,5.339800131291015e-08,5.599999999999999e-10,5.339800131453925e-08,5.599999999999999e-10,5.339800128627418e-08,5.599999999999999e-10,0
1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,0,1.2e-09,5.339800130725701e-08,1.2e-09,5.339800131276581e-08,1.2e-09,5.339800131456311e-08,1.2e-09,5.339800128229599e-08,1.2e-09,0
2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,0,2.48e-09,5.339800130935261e-08,2.48e-09,5.339800131289929e-08,2.48e-09,5.339800131482919e-08,2.48e-09,5.339800128632983e-08,2.48e-09,0
4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,0,4.08e-09,5.339800130724828e-08,4.08e-09,5.339800131302451e-08,4.08e-09,5.339800131419449e-08,4.08e-09,5.339800128191295e-08,4.08e-09,0
5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,0,5.68e-09,5.339800130937144e-08,5.68e-09,5.339800131287952e-08,5.68e-09,5.339800131513092e-08,5.68e-09,5.339800128646197e-08,5.68e-09,0
7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,0,7.280000000000001e-09,5.33980013072854e-08,7.280000000000001e-09,5.339800131307649e-08,7.280000000000001e-09,5.339800131371652e-08,7.280000000000001e-09,5.339800128178722e-08,7.280000000000001e-09,0
8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,0,8.880000000000001e-09,5.339800130937169e-08,8.880000000000001e-09,5.339800131274976e-08,8.880000000000001e-09,5.33980013155482e-08,8.880000000000001e-09,5.339800128650015e-08,8.880000000000001e-09,0
1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,5.339800130717625e-08,1e-08,5.339800131322272e-08,1e-08,5.339800131336302e-08,1e-08,5.339800128182163e-08,1e-08,0
1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,5.339800130829514e-08,1.16e-08,5.339800131288503e-08,1.16e-08,5.339800131460716e-08,1.16e-08,5.339800128418128e-08,1.16e-08,0
1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,5.339800130835993e-08,1.32e-08,5.339800131286358e-08,1.32e-08,5.339800131461392e-08,1.32e-08,5.339800128421673e-08,1.32e-08,0
1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,5.3398001308381e-08,1.48e-08,5.339800131290344e-08,1.48e-08,5.339800131451265e-08,1.48e-08,5.339800128399876e-08,1.48e-08,0
1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,5.339800130801296e-08,1.5e-08,5.339800131253305e-08,1.5e-08,5.339800131496901e-08,1.5e-08,5.339800128445044e-08,1.5e-08,0
1.5000001e-08,1,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,8.835811322203124e-08,1.5000001e-08,2.551611875119004e-07,1.5000001e-08,5.351666942592501e-08,1.5000001e-08,1.444325728440787e-07,1.5000001e-08,0
1.5000003e-08,1,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,3.694674339467574e-07,1.5000003e-08,1.862272309578034e-06,1.5000003e-08,5.528034498147688e-08,1.5000003e-08,9.496177845734272e-07,1.5000003e-08,0
1.5000007e-08,1,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1.229658079078925e-06,1.5000007e-08,7.382683997174696e-06,1.5000007e-08,6.221871607810984e-08,1.5000007e-08,3.368465543762842e-06,1.5000007e-08,0
1.500001456666274e-08,1,1.500001456666274e-08,1,1.500001456666274e-08,0,1.500001456666274e-08,0,1.500001456666274e-08,1,1.500001456666274e-08,0,1.500001456666274e-08,0,1.500001456666274e-08,0,1.500001456666274e-08,3.753277199670009e-06,1.500001456666274e-08,2.449047452546326e-05,1.500001456666274e-08,8.81062897250676e-08,1.500001456666274e-08,9.323300887006971e-06,1.500001456666274e-08,0
1.500001834999411e-08,1,1.500001834999411e-08,1,1.500001834999411e-08,0,1.500001834999411e-08,0,1.500001834999411e-08,1,1.500001834999411e-08,0,1.500001834999411e-08,0,1.500001834999411e-08,0,1.500001834999411e-08,5.142019426606753e-06,1.500001834999411e-08,3.362072481063512e-05,1.500001834999411e-08,1.036979970375052e-07,1.500001834999411e-08,1.35210752888077e-05,1.500001834999411e-08,0
1.500002591665685e-08,1,1.500002591665685e-08,1,1.500002591665685e-08,0,1.500002591665685e-08,0,1.500002591665685e-08,1,1.500002591665685e-08,0,1.500002591665685e-08,0,1.500002591665685e-08,0,1.500002591665685e-08,7.678985445606178e-06,1.500002591665685e-08,5.065583407582051e-05,1.500002591665685e-08,1.314090780584306e-07,1.500002591665685e-08,2.039436202488003e-05,1.500002591665685e-08,0
1.500002969998821e-08,1,1.500002969998821e-08,1,1.500002969998821e-08,0,1.500002969998821e-08,0,1.500002969998821e-08,1,1.500002969998821e-08,0,1.500002969998821e-08,0,1.500002969998821e-08,0,1.500002969998821e-08,8.898562826585468e-06,1.500002969998821e-08,5.919709118755121e-05,1.500002969998821e-08,1.440313635006412e-07,1.500002969998821e-08,2.297549346359612e-05,1.500002969998821e-08,0
1.500003726665095e-08,1,1.500003726665095e-08,1,1.500003726665095e-08,0,1.500003726665095e-08,0,1.500003726665095e-08,1,1.500003726665095e-08,0,1.500003726665095e-08,0,1.500003726665095e-08,0,1.500003726665095e-08,1.139228570864723e-05,1.500003726665095e-08,7.633816597689268e-05,1.500003726665095e-08,1.699907363894462e-07,1.500003726665095e-08,2.958508964385748e-05,1.500003726665095e-08,0
1.500005239997643e-08,1,1.500005239997643e-08,1,1.500005239997643e-08,0,1.500005239997643e-08,0,1.500005239997643e-08,1,1.500005239997643e-08,0,1.500005239997643e-08,0,1.500005239997643e-08,0,1.500005239997643e-08,1.633217018697965e-05,1.500005239997643e-08,0.0001107387304328694,1.500005239997643e-08,2.221799299081539e-07,1.500005239997643e-08,4.223821661170658e-05,1.500005239997643e-08,0
