/a0 X,/a0 Y,/a1 X,/a1 Y,/a2 X,/a2 Y,/a3 X,/a3 Y,/b0 X,/b0 Y,/b1 X,/b1 Y,/b2 X,/b2 Y,/b3 X,/b3 Y,/s0 X,/s0 Y,/s1 X,/s1 Y,/s2 X,/s2 Y,/s3 X,/s3 Y,/a4 X,/a4 Y,/a5 X,/a5 Y,/a6 X,/a6 Y,/a7 X,/a7 Y,/b4 X,/b4 Y,/b5 X,/b5 Y,/b6 X,/b6 Y,/b7 X,/b7 Y,/cout X,/cout Y,/s4 X,/s4 Y,/s5 X,/s5 Y,/s6 X,/s6 Y,/s7 X,/s7 Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188901319390057e-07,0,1.18890126177156e-07,0,1.18890126205141e-07,0,1.188901260849784e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.339800129489946e-08,0,1.188901200923984e-07,0,1.188901261180075e-07,0,1.18890126117783e-07,0,1.188901261768565e-07
3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,1.188901425355578e-07,3e-11,1.188901366918629e-07,3e-11,1.188901367197834e-07,3e-11,1.188901367498894e-07,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,0,3e-11,5.339800130637959e-08,3e-11,1.188901306009807e-07,3e-11,1.188901366327199e-07,3e-11,1.188901366844418e-07,3e-11,1.188901367407148e-07
9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,1.188901438396027e-07,9e-11,1.188901380198849e-07,9e-11,1.188901380473876e-07,9e-11,1.188901380917487e-07,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,0,9e-11,5.339800130762768e-08,9e-11,1.188901319193404e-07,9e-11,1.188901379607467e-07,9e-11,1.188901380179001e-07,9e-11,1.188901380797961e-07
2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,1.188901440100971e-07,2.1e-10,1.188901381918513e-07,2.1e-10,1.188901382273752e-07,2.1e-10,1.188901382763728e-07,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,0,2.1e-10,5.339800130743681e-08,2.1e-10,1.188901321034238e-07,2.1e-10,1.18890138132643e-07,2.1e-10,1.18890138196361e-07,2.1e-10,1.188901382454087e-07
4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,1.188901438644339e-07,4.5e-10,1.188901380358891e-07,4.5e-10,1.188901380633729e-07,4.5e-10,1.188901381156999e-07,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,0,4.5e-10,5.339800130765191e-08,4.5e-10,1.188901319402966e-07,4.5e-10,1.18890137979046e-07,4.5e-10,1.18890138034248e-07,4.5e-10,1.188901380999707e-07
9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,1.188901439928874e-07,9.3e-10,1.188901381822904e-07,9.3e-10,1.188901382090308e-07,9.3e-10,1.188901382569585e-07,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,0,9.3e-10,5.339800130632882e-08,9.3e-10,1.188901320858433e-07,9.3e-10,1.188901381189849e-07,9.3e-10,1.188901381793441e-07,9.3e-10,1.188901382294634e-07
1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,1.188901438573157e-07,1.53e-09,1.188901380290673e-07,1.53e-09,1.188901380599469e-07,1.53e-09,1.188901381096695e-07,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,0,1.53e-09,5.339800130688132e-08,1.53e-09,1.188901319357026e-07,1.53e-09,1.188901379738851e-07,1.53e-09,1.18890138028384e-07,1.53e-09,1.188901380939441e-07
2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,1.18890143978959e-07,2e-09,1.188901381662963e-07,2e-09,1.188901381902864e-07,2e-09,1.188901382424158e-07,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,0,2e-09,5.339800130673195e-08,2e-09,1.188901320684803e-07,2e-09,1.188901381017878e-07,2e-09,1.188901381611173e-07,2e-09,1.188901382130249e-07
2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0,2.000013033854167e-09,0,2.000013033854167e-09,0,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,2.926999938130208e-07,2.000013033854167e-09,2.705088401374161e-07,2.000013033854167e-09,2.703714385955684e-07,2.000013033854167e-09,2.91112630445387e-07,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0,2.000013033854167e-09,0,2.000013033854167e-09,0,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,0.0001303385416652186,2.000013033854167e-09,5.353375053475385e-08,2.000013033854167e-09,3.116254331845939e-07,2.000013033854167e-09,2.705105198513728e-07,2.000013033854167e-09,2.7037145946019e-07,2.000013033854167e-09,2.9111404026742e-07
2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0,2.0000391015625e-09,0,2.0000391015625e-09,0,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,7.055819439944844e-07,2.0000391015625e-09,6.295317886256011e-07,2.0000391015625e-09,6.287376460723527e-07,2.0000391015625e-09,6.993885990595202e-07,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0,2.0000391015625e-09,0,2.0000391015625e-09,0,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,0.0003910156249956558,2.0000391015625e-09,5.398683930913342e-08,2.0000391015625e-09,7.715594795918385e-07,2.0000391015625e-09,6.295387838191659e-07,2.0000391015625e-09,6.287377395982977e-07,2.0000391015625e-09,6.993944276492108e-07
